Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,Ramiro,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,N/A,1,N/A
2,Kevin,placed,N/A,N/A,"(0, 1)",1,1,0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,Kevin,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,N/A,1,N/A
4,Ramiro,placed,N/A,N/A,"(0, 0)",0,1,0100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,Ramiro,selected,"LITTLE, BLACK, CIRCLE, WITH_HOLE",1,N/A,N/A,1,N/A
6,Kevin,placed,N/A,N/A,"(1, 3)",7,1,0100000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,Kevin,selected,"TALL, BLACK, CIRCLE, WITH_HOLE",9,N/A,N/A,1,N/A
8,Ramiro,placed,N/A,N/A,"(0, 2)",2,1,0100000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,Ramiro,selected,"LITTLE, BLACK, SQUARE, WITHOUT_HOLE",2,N/A,N/A,1,N/A
10,Kevin,placed,N/A,N/A,"(1, 1)",5,1,0100000000000000000000010000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,Kevin,selected,"TALL, BLACK, SQUARE, WITH_HOLE",11,N/A,N/A,1,N/A
12,Ramiro,placed,N/A,N/A,"(0, 3)",3,1,0100000000000000000000010000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000
13,Ramiro,selected,"LITTLE, BLACK, SQUARE, WITH_HOLE",3,N/A,N/A,1,N/A
14,Kevin,placed,N/A,N/A,"(2, 0)",8,1,0100000000000000000000010000000000000100000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000
15,Kevin,selected,"TALL, BLACK, SQUARE, WITHOUT_HOLE",10,N/A,N/A,1,N/A
16,Ramiro,placed,N/A,N/A,"(1, 0)",4,1,0100000000000000000000010000000000000100000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000
17,Ramiro,selected,"LITTLE, WHITE, CIRCLE, WITH_HOLE",5,N/A,N/A,1,N/A
18,Kevin,placed,N/A,N/A,"(3, 1)",13,1,0100000000000000000000010000000000000100000000000000000010000000100000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000
19,Kevin,selected,"TALL, WHITE, SQUARE, WITHOUT_HOLE",14,N/A,N/A,1,N/A
20,Ramiro,placed,N/A,N/A,"(1, 2)",6,1,0100000000000000000000010000000000000100000000000000000010000000100000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000010000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000
21,Ramiro,selected,"TALL, BLACK, CIRCLE, WITHOUT_HOLE",8,N/A,N/A,1,N/A
22,Kevin,placed,N/A,N/A,"(2, 2)",10,1,0100000000000000000000010000000000000100000000000000000010000000100000000000000000000000000001000000000000000000000000000000000000000000001000000010000000000000000010000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000
23,Kevin,selected,"TALL, WHITE, SQUARE, WITH_HOLE",15,N/A,N/A,1,N/A
24,Ramiro,placed,N/A,N/A,"(3, 2)",14,1,0100000000000000000000010000000000000100000000000000000010000000100000000000000000000000000001000000000000000000000000000000000000000000001000000010000000000000000010000000000000010000000000000000000000000000000000000000000000000010000000000000000000000010

Ganador,Ramiro
