Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,Jairo,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,N/A,1,N/A
2,Marco,placed,N/A,N/A,"(0, 3)",3,1,0001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,Marco,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,N/A,1,N/A
4,Jairo,placed,N/A,N/A,"(0, 0)",0,1,0001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000
5,Jairo,selected,"LITTLE, BLACK, CIRCLE, WITH_HOLE",1,N/A,N/A,1,N/A
6,Marco,placed,N/A,N/A,"(0, 2)",2,1,0001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000
7,Marco,selected,"TALL, BLACK, SQUARE, WITH_HOLE",11,N/A,N/A,1,N/A
8,Jairo,placed,N/A,N/A,"(0, 1)",1,1,0001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000
9,Jairo,selected,"LITTLE, BLACK, SQUARE, WITHOUT_HOLE",2,N/A,N/A,1,N/A
10,Marco,placed,N/A,N/A,"(1, 2)",6,1,0001000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000
11,Marco,selected,"LITTLE, WHITE, SQUARE, WITH_HOLE",7,N/A,N/A,1,N/A
12,Jairo,placed,N/A,N/A,"(1, 0)",4,1,0001000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000
13,Jairo,selected,"LITTLE, BLACK, SQUARE, WITH_HOLE",3,N/A,N/A,1,N/A
14,Marco,placed,N/A,N/A,"(3, 0)",12,1,0001000000000000001000000000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000
15,Marco,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,N/A,1,N/A
16,Jairo,placed,N/A,N/A,"(2, 1)",9,1,0001000000000000001000000000000000000010000000000000000000001000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000

Ganador,Jairo
