Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,Juan,selected,"LITTLE, WHITE, SQUARE, WITHOUT_HOLE",6,N/A,N/A,1,N/A
2,Pedro,placed,N/A,N/A,"(0, 0)",0,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,Pedro,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,N/A,1,N/A
4,Juan,placed,N/A,N/A,"(2, 0)",8,1,0000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,Juan,selected,"LITTLE, WHITE, CIRCLE, WITH_HOLE",5,N/A,N/A,1,N/A
6,Pedro,placed,N/A,N/A,"(0, 1)",1,1,0000000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,Pedro,selected,"LITTLE, BLACK, CIRCLE, WITH_HOLE",1,N/A,N/A,1,N/A
8,Juan,placed,N/A,N/A,"(1, 1)",5,1,0000000010000000000001000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,Juan,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,N/A,1,N/A
10,Pedro,placed,N/A,N/A,"(0, 2)",2,1,0000000010000000000001000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000
11,Pedro,selected,"LITTLE, BLACK, SQUARE, WITHOUT_HOLE",2,N/A,N/A,1,N/A
12,Juan,placed,N/A,N/A,"(2, 3)",11,1,0000000010000000000001000000000000000000000100000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000
13,Juan,selected,"LITTLE, WHITE, SQUARE, WITH_HOLE",7,N/A,N/A,1,N/A
14,Pedro,placed,N/A,N/A,"(0, 3)",3,1,0000000010000000000001000000000000000000000100000000000000000000000000000000000001000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000

Ganador,Pedro
