Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,Jugador 1,selected,"TALL, BLACK, CIRCLE, WITHOUT_HOLE",8,N/A,N/A,1,N/A
2,Jugador 2,placed,N/A,N/A,"(0, 3)",3,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,Jugador 2,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,N/A,1,N/A
4,Jugador 1,placed,N/A,N/A,"(1, 2)",6,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
5,Jugador 1,selected,"TALL, BLACK, CIRCLE, WITH_HOLE",9,N/A,N/A,1,N/A
6,Jugador 2,placed,N/A,N/A,"(0, 2)",2,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
7,Jugador 2,selected,"LITTLE, BLACK, CIRCLE, WITH_HOLE",1,N/A,N/A,1,N/A
8,Jugador 1,placed,N/A,N/A,"(2, 1)",9,1,0000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
9,Jugador 1,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,N/A,1,N/A
10,Jugador 2,placed,N/A,N/A,"(0, 1)",1,1,0100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
11,Jugador 2,selected,"LITTLE, WHITE, SQUARE, WITH_HOLE",7,N/A,N/A,1,N/A
12,Jugador 1,placed,N/A,N/A,"(1, 0)",4,1,0100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
13,Jugador 1,selected,"LITTLE, BLACK, SQUARE, WITHOUT_HOLE",2,N/A,N/A,1,N/A
14,Jugador 2,placed,N/A,N/A,"(1, 1)",5,1,0100000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
15,Jugador 2,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,N/A,1,N/A
16,Jugador 1,placed,N/A,N/A,"(0, 0)",0,1,0100000000000000000000000100000000000100000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000010000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000

Ganador,Jugador 1
