Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,Jugador 1,selected,"TALL, BLACK, CIRCLE, WITHOUT_HOLE",8,N/A,N/A,1,N/A
2,Jugador 2,placed,N/A,N/A,"(0, 3)",3,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,Jugador 2,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,N/A,1,N/A
4,Jugador 1,placed,N/A,N/A,"(1, 2)",6,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
5,Jugador 1,selected,"TALL, BLACK, SQUARE, WITHOUT_HOLE",10,N/A,N/A,1,N/A
6,Jugador 2,placed,N/A,N/A,"(0, 2)",2,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
7,Jugador 2,selected,"LITTLE, BLACK, CIRCLE, WITH_HOLE",1,N/A,N/A,1,N/A
8,Jugador 1,placed,N/A,N/A,"(0, 1)",1,1,0000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
9,Jugador 1,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,N/A,1,N/A
10,Jugador 2,placed,N/A,N/A,"(0, 0)",0,1,1000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000

Ganador,Jugador 2
