Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,CNN ,selected,"LITTLE, BLACK, SQUARE, WITHOUT_HOLE",2,N/A,N/A,1,N/A
2,Freddy,placed,N/A,N/A,"(1, 2)",6,1,0000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,Freddy,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,N/A,1,N/A
4,CNN ,placed,N/A,N/A,"(1, 0)",4,1,0000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,CNN ,selected,"LITTLE, BLACK, SQUARE, WITH_HOLE",3,N/A,N/A,1,N/A
6,Freddy,placed,N/A,N/A,"(0, 1)",1,1,0000000000000000000000000000000000000010000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,Freddy,selected,"LITTLE, WHITE, SQUARE, WITH_HOLE",7,N/A,N/A,1,N/A
8,CNN ,placed,N/A,N/A,"(2, 3)",11,1,0000000000000000000000000000000000000010000000000100000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,CNN ,selected,"TALL, BLACK, SQUARE, WITHOUT_HOLE",10,N/A,N/A,1,N/A
10,Freddy,placed,N/A,N/A,"(0, 2)",2,1,0000000000000000000000000000000000000010000000000100000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,Freddy,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,N/A,1,N/A
12,CNN ,placed,N/A,N/A,"(1, 1)",5,1,0000000000000000000000000000000000000010000000000100000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000
13,CNN ,selected,"TALL, BLACK, CIRCLE, WITHOUT_HOLE",8,N/A,N/A,1,N/A
14,Freddy,placed,N/A,N/A,"(3, 1)",13,1,0000000000000000000000000000000000000010000000000100000000000000000010000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000
15,Freddy,selected,"TALL, BLACK, SQUARE, WITH_HOLE",11,N/A,N/A,1,N/A
16,CNN ,placed,N/A,N/A,"(3, 3)",15,1,0000000000000000000000000000000000000010000000000100000000000000000010000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000001000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000
17,CNN ,selected,"TALL, WHITE, SQUARE, WITHOUT_HOLE",14,N/A,N/A,1,N/A
18,Freddy,placed,N/A,N/A,"(0, 3)",3,1,0000000000000000000000000000000000000010000000000100000000000000000010000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000001000000000000000000000000000010000010000000000000000000000000000010000000000000000000000000000
19,Freddy,selected,"LITTLE, BLACK, CIRCLE, WITH_HOLE",1,N/A,N/A,1,N/A
20,CNN ,placed,N/A,N/A,"(1, 3)",7,1,0000000000000000000000010000000000000010000000000100000000000000000010000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000001000000000000000000000000000010000010000000000000000000000000000010000000000000000000000000000
21,CNN ,selected,"LITTLE, WHITE, SQUARE, WITHOUT_HOLE",6,N/A,N/A,1,N/A
22,Freddy,placed,N/A,N/A,"(3, 0)",12,1,0000000000000000000000010000000000000010000000000100000000000000000010000000000000000000000000000000000000001000000000000001000000000000000001000000000000000000001000000000000000000000000000010000010000000000000000000000000000010000000000000000000000000000
23,Freddy,selected,"TALL, WHITE, SQUARE, WITH_HOLE",15,N/A,N/A,1,N/A
24,CNN ,placed,N/A,N/A,"(0, 0)",0,1,0000000000000000000000010000000000000010000000000100000000000000000010000000000000000000000000000000000000001000000000000001000000000000000001000000000000000000001000000000000000000000000000010000010000000000000000000000000000010000000000001000000000000000

Ganador,CNN 
