Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,Jugador 1,selected,"LITTLE, BLACK, SQUARE, WITH_HOLE",3,N/A,N/A,1,N/A
2,Jugador 2,placed,N/A,N/A,"(1, 0)",4,1,0000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,Jugador 2,selected,"LITTLE, WHITE, SQUARE, WITH_HOLE",7,N/A,N/A,1,N/A
4,Jugador 1,placed,N/A,N/A,"(2, 2)",10,1,0000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,Jugador 1,selected,"TALL, WHITE, SQUARE, WITH_HOLE",15,N/A,N/A,1,N/A
6,Jugador 2,placed,N/A,N/A,"(3, 3)",15,1,0000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
7,Jugador 2,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,N/A,1,N/A

Ganador,Tie
